Category,Resource,URL,Description
Federal Acquisition & Construction,Federal Acquisition Regulation (FAR) - Part 36,https://www.acquisition.gov/far/part-36,Construction and Architect-Engineer Contracts
Federal Standards,FHWA Standard Specifications FP-24,https://highways.dot.gov/federal-lands/specs,Standard Specifications for Construction of Roads and Bridges on Federal Highway Projects
OSHA Safety,29 CFR Part 1926,https://www.osha.gov/laws-regs/regulations/standardnumber/1926,Safety and Health Regulations for Construction
OSHA Safety,OSHA Construction Industry Portal,https://www.osha.gov/construction,Construction industry safety standards and resources
EPA Environmental,40 CFR Part 450,https://www.epa.gov/eg/construction-and-development-effluent-guidelines,Construction and Development Effluent Guidelines
EPA Environmental,EPA Laws & Regulations,https://www.epa.gov/laws-regulations,Overview of environmental regulations under Title 40 CFR
EPA Environmental,EPA Managing Environmental Responsibilities Guide,https://www.epa.gov/sites/default/files/2015-10/documents/myerguide.pdf,Federal environmental requirements for construction (PDF)
EPA Environmental,Federal Environmental Requirements for Construction,https://www.cem.va.gov/pdf/fedreqs.pdf,Comprehensive guide to federal environmental construction requirements (PDF)
Federal DOT,US DOT Roads and Bridges,https://www.transportation.gov/roadways-and-bridges,Federal Highway Administration resources for infrastructure
Federal DOT,FHWA Geometric Design Requirements,https://highways.dot.gov/fed-aid-essentials/videos/project-development/design-project-geometric-design-requirements,Project geometric design requirements for highways
Building Codes,International Code Council (ICC),https://global.iccsafe.org/international-codes-and-standards/,International Building Codes (I-Codes) - adopted by all 50 states
Engineering Standards,ASCE Standards,https://www.asce.org/publications-and-news/codes-and-standards,American Society of Civil Engineers codes and standards
Engineering Standards,ASME Codes & Standards,https://www.asme.org/codes-standards,"ASME pressure technology, piping, and construction standards"
Professional Services,Brooks Act (P.L. 92-582),https://www.fhwa.dot.gov/programadmin/121205.cfm,Federal architect-engineer services procurement
Professional Services,FAR Subpart 36.6,https://www.acquisition.gov/far/subpart-36.6,Architect-Engineer Services procurement procedures
Federal Building Standards,GSA Facilities Standards,https://www.gsa.gov/real-estate/design-and-construction/facilities-standards-for-the-public-buildings-service,PBS Core Building Standards Memorandum
Reference,Congressional Research on Infrastructure Codes,https://www.congress.gov/crs-product/R47666,"Infrastructure Codes, Standards, and Regulations FAQs"
Standards Organization,American National Standards Institute (ANSI),https://www.ansi.org,"Coordinator of U.S. voluntary consensus standards system, accredits SDOs"
Standards Organization,ASTM International,https://www.astm.org,"Construction standards including materials, testing, and building specifications"
Standards Organization,ASTM Construction Standards,https://store.astm.org/products-services/standards-and-publications/standards/construction-standards.html,"Comprehensive construction standards for adhesive, building, cement, fire, geotechnical, masonry standards"
Fire Safety Standards,National Fire Protection Association (NFPA),https://www.nfpa.org/codes-and-standards,"300+ fire safety codes and standards including NFPA 1, 70, 101"
Fire Safety Standards,NFPA Codes Online (NFCSS),https://codesonline.nfpa.org,Online subscription service for entire NFPA codes library
Professional Association,American Public Works Association (APWA),https://www.apwa.org/resources/about-public-works/,Professional association for public works departments and practitioners
Professional Association,National Institute of Standards and Technology (NIST),https://www.nist.gov,Federal technology and standards agency
